Business,City,Niche,Opened,Days Since Open,Source,Website,Online Booking,Opportunity Score,Priority,Outreach Suggested
"South Congress Dental Studio","Austin","Dental","2026-06-01",10,"Austin Chamber New Member",true,false,75,"🔵 HIGH","Yes — send Welcome Kit + DM"
"Lotus Med Spa ATX","Austin","Med Spa","2026-05-15",27,"Austin Business License",true,false,75,"🔵 HIGH","Yes — send Welcome Kit + DM"
"SouthPark Smile Design","Charlotte","Dental","2026-05-28",14,"Charlotte Chamber New Member",true,false,75,"🔵 HIGH","Yes — send Welcome Kit + DM"
"Queen West Optical","Toronto","Optical","2026-06-02",9,"Toronto New Business Registry",true,false,65,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"Yorkville Wellness Clinic","Toronto","Medical","2026-05-25",17,"Toronto New Business Registry",true,false,65,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"Mayfair Dental Practice","London","Dental","2026-05-30",12,"London Business License",true,false,65,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"SoHo Med Spa NYC","New York","Med Spa","2026-06-06",5,"NYC Business License",true,false,65,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"Rainey Street Boutique","Austin","Boutique","2026-06-10",1,"Austin Chamber New Member",true,false,55,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"Myers Park Veterinary","Charlotte","Veterinary","2026-05-10",32,"Charlotte Business License",true,true,45,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"Covent Garden Boutique","London","Boutique","2026-06-04",7,"London Chamber New Member",true,false,45,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"Williamsburg Fitness Lab","New York","Fitness","2026-05-22",20,"NYC Chamber New Member",true,false,45,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"East Side Barber Co.","Austin","Barber","2026-06-05",6,"Austin Chamber New Member",false,false,40,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"Zilker Pet Spa","Austin","Pet Grooming","2026-05-20",22,"Austin Business License",true,true,40,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"Plaza Midwood Pilates","Charlotte","Fitness","2026-06-03",8,"Charlotte Business License",true,true,40,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"NoDa Coffee House","Charlotte","Coffee Shop","2026-06-08",3,"Charlotte Chamber New Member",false,false,40,"🟡 MEDIUM","Yes — send Welcome Kit + DM"
"King Street Barber","Toronto","Barber","2026-06-07",4,"Toronto Chamber New Member",false,false,30,"⚪ LOW","Monitor and re-score in 30 days"
"Shoreditch Grooming Co.","London","Pet Grooming","2026-05-18",24,"London Business License",true,true,30,"⚪ LOW","Monitor and re-score in 30 days"
"Upper East Side Salon","New York","Salon","2026-06-09",2,"NYC Business License",true,true,30,"⚪ LOW","Monitor and re-score in 30 days"