name,city,niche,rating,reviews,has_booking,severity,pain_points,signals
"Maid in Miami","Miami","Cleaning",3.4,8,"NO",100,"🔴 CRITICAL: Rating below 3.5 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Extremely low rating — customers actively unhappy | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Dade Auto Repair","Miami","Auto Repair",3.2,8,"NO",100,"🔴 CRITICAL: Rating below 3.5 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Extremely low rating — customers actively unhappy | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Broward Auto Care","Fort Lauderdale","Auto Repair",3.4,8,"NO",100,"🔴 CRITICAL: Rating below 3.5 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Extremely low rating — customers actively unhappy | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"South Lamar Cleaners","Austin","Cleaning",3.4,6,"NO",100,"🔴 CRITICAL: Rating below 3.5 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Extremely low rating — customers actively unhappy | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Ultimate Fade Studio","Miami","Barber",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Fort Lauderdale Kids Dental","Fort Lauderdale","Dental",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Sparkling Home Services","Fort Lauderdale","Cleaning",3.5,6,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Tiny Smiles ATX","Austin","Dental",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Queen City Pediatric","Charlotte","Dental",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"South End Home Cleaners","Charlotte","Cleaning",3.5,6,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Mile High Pediatric","Denver","Dental",3.5,6,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Mile High Maids","Denver","Cleaning",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Downtown Grooming Co","Miami","Barber",3.6,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Tiny Teeth Specialists","Miami","Dental",3.5,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Premium Home Cleaning Miami","Miami","Cleaning",3.6,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Little Havana Auto","Miami","Auto Repair",3.5,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Old School Fades","Fort Lauderdale","Barber",3.6,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Deep Clean Pros FTL","Fort Lauderdale","Cleaning",3.6,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"FTL Auto Works","Fort Lauderdale","Auto Repair",3.7,20,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Sunrise Auto Repair","Fort Lauderdale","Auto Repair",3.6,15,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"ATX Fade Lounge","Austin","Barber",3.7,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Premium Home Care ATX","Austin","Cleaning",3.6,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"North Austin Auto Pro","Austin","Auto Repair",3.5,18,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Plaza Midwood Cuts","Charlotte","Barber",3.6,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Pediatric Dentistry CLT","Charlotte","Dental",3.7,18,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Ballantyne Clean Team","Charlotte","Cleaning",3.7,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Highland Grooming Co","Denver","Barber",3.6,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Cherry Creek Cleaners","Denver","Cleaning",3.7,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Classic Cuts Miami","Miami","Barber",3.8,22,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Kids Happy Teeth","Miami","Dental",3.9,18,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Luxury Home Care Miami","Miami","Cleaning",3.8,15,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Executive Cuts FTL","Fort Lauderdale","Barber",3.9,18,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Sunshine Pediatric Dentistry","Fort Lauderdale","Dental",3.8,22,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"FTL Clean Team","Fort Lauderdale","Cleaning",3.8,15,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"East Side Barber Co","Austin","Barber",3.9,20,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Pediatric Dental Austin","Austin","Dental",3.8,22,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"SouthPark Grooming","Charlotte","Barber",3.8,15,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"South CLT Auto Repair","Charlotte","Auto Repair",3.9,22,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"LoDo Cuts","Denver","Barber",3.8,18,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Pediatric Smiles Denver","Denver","Dental",3.8,20,"NO",55,"🟠 MODERATE: Rating below 4.0 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Room for improvement | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Little Smiles Dental","Miami","Dental",3.7,25,"NO",50,"🟡 SEVERE: Rating below 3.8 | 🔵 NEEDS: Online booking","Below average rating — retention risk | No digital booking — customers can't schedule easily"
"AutoWerks Charlotte","Charlotte","Auto Repair",3.5,85,"NO",50,"🟡 SEVERE: Rating below 3.8 | 🔵 NEEDS: Online booking","Below average rating — retention risk | No digital booking — customers can't schedule easily"
"Colorado Auto Repair","Denver","Auto Repair",3.5,180,"NO",50,"🟡 SEVERE: Rating below 3.8 | 🔵 NEEDS: Online booking","Below average rating — retention risk | No digital booking — customers can't schedule easily"
"Elite Finish Auto","Denver","Auto Repair",3.7,25,"NO",50,"🟡 SEVERE: Rating below 3.8 | 🔵 NEEDS: Online booking","Below average rating — retention risk | No digital booking — customers can't schedule easily"
"Miami Auto Pro","Miami","Auto Repair",3.9,42,"NO",40,"🟠 MODERATE: Rating below 4.0 | 🔵 NEEDS: Online booking","Room for improvement | No digital booking — customers can't schedule easily"
"South Miami Auto Works","Miami","Auto Repair",3.8,28,"NO",40,"🟠 MODERATE: Rating below 4.0 | 🔵 NEEDS: Online booking","Room for improvement | No digital booking — customers can't schedule easily"
"Pompano Auto Pro","Fort Lauderdale","Auto Repair",3.9,28,"NO",40,"🟠 MODERATE: Rating below 4.0 | 🔵 NEEDS: Online booking","Room for improvement | No digital booking — customers can't schedule easily"
"Superior Auto Body Austin","Austin","Auto Repair",3.8,210,"NO",40,"🟠 MODERATE: Rating below 4.0 | 🔵 NEEDS: Online booking","Room for improvement | No digital booking — customers can't schedule easily"
"Austin Detailing Specialists","Austin","Auto Repair",3.9,32,"NO",40,"🟠 MODERATE: Rating below 4.0 | 🔵 NEEDS: Online booking","Room for improvement | No digital booking — customers can't schedule easily"
"Superior Auto Charlotte","Charlotte","Auto Repair",3.8,150,"NO",40,"🟠 MODERATE: Rating below 4.0 | 🔵 NEEDS: Online booking","Room for improvement | No digital booking — customers can't schedule easily"
"Exotic Motors Denver","Denver","Auto Repair",3.8,120,"NO",40,"🟠 MODERATE: Rating below 4.0 | 🔵 NEEDS: Online booking","Room for improvement | No digital booking — customers can't schedule easily"
"Executive Style Barber Lounge","Miami","Barber",4.1,15,"NO",35,"🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking","Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Eco Clean Miami","Miami","Cleaning",4,28,"NO",20,"🔵 NEEDS: Online booking","No digital booking — customers can't schedule easily"
"The Good Life Barber Co","Austin","Barber",4.1,25,"NO",20,"🔵 NEEDS: Online booking","No digital booking — customers can't schedule easily"
"South Austin Auto Repair","Austin","Auto Repair",4.3,156,"NO",20,"🔵 NEEDS: Online booking","No digital booking — customers can't schedule easily"
"The Spot Barbershop - Downtown Miami","Miami","Barber",4.8,85,"YES",0,"",""
"Miami Vip Barbershop","Miami","Barber",5,120,"YES",0,"",""
"N1C4 Barber Studio","Miami","Barber",5,65,"YES",0,"",""
"Fade Masters of Miami","Miami","Barber",4.7,92,"YES",0,"",""
"Flyy City Barbershop","Miami","Barber",4.9,78,"YES",0,"",""
"South Beach Barbers","Miami","Barber",4,35,"YES",0,"",""
"Miami Pediatric Dentistry","Miami","Dental",4.6,180,"YES",0,"",""
"Childrens Dental Care Miami","Miami","Dental",4.2,55,"YES",0,"",""
"Brickell Pediatric Dentist","Miami","Dental",4.4,65,"YES",0,"",""
"Sparkle Clean Miami","Miami","Cleaning",4.2,45,"YES",0,"",""
"Airbnb Clean Pro","Miami","Cleaning",4.1,35,"YES",0,"",""
"Brickell Auto Service","Miami","Auto Repair",4.3,55,"YES",0,"",""
"Coral Gables Auto Care","Miami","Auto Repair",4.1,38,"YES",0,"",""
"Laser Wolf Barbershop","Fort Lauderdale","Barber",4.7,95,"YES",0,"",""
"Beach Barber Co","Fort Lauderdale","Barber",4.2,32,"YES",0,"",""
"Las Olas Grooming","Fort Lauderdale","Barber",4.5,60,"YES",0,"",""
"Children's Dental FTL","Fort Lauderdale","Dental",4.3,70,"YES",0,"",""
"Happy Teeth Pediatric","Fort Lauderdale","Dental",4,35,"YES",0,"",""
"Family Smiles Pedo","Fort Lauderdale","Dental",4.2,45,"YES",0,"",""
"Premium Clean FTL","Fort Lauderdale","Cleaning",4,28,"YES",0,"",""
"Beachside Clean Co","Fort Lauderdale","Cleaning",4.1,32,"YES",0,"",""
"Las Olas Auto Service","Fort Lauderdale","Auto Repair",4.2,45,"YES",0,"",""
"Boardroom Salon for Men","Austin","Barber",4.6,200,"YES",0,"",""
"South Congress Barber","Austin","Barber",4.3,45,"YES",0,"",""
"Austin Childrens Dentistry","Austin","Dental",4.5,150,"YES",0,"",""
"Kids Dental Studio","Austin","Dental",4.1,35,"YES",0,"",""
"Austin Clean Team","Austin","Cleaning",4,30,"YES",0,"",""
"Eco Maids Austin","Austin","Cleaning",4.2,55,"YES",0,"",""
"Uptown Barbershop CLT","Charlotte","Barber",4.4,65,"YES",0,"",""
"NoDa Barber Studio","Charlotte","Barber",4.2,35,"YES",0,"",""
"Charlotte Kids Dentist","Charlotte","Dental",4.4,85,"YES",0,"",""
"Children's Dental Plaza","Charlotte","Dental",4.1,42,"YES",0,"",""
"Charlotte Clean Pro","Charlotte","Cleaning",4,28,"YES",0,"",""
"Mint Hill Cleaning Co","Charlotte","Cleaning",4.2,35,"YES",0,"",""
"Charlotte Auto Detail","Charlotte","Auto Repair",4.3,45,"YES",0,"",""
"The Barbers Den","Denver","Barber",4.5,80,"YES",0,"",""
"RiNo Barber Studio","Denver","Barber",4.2,35,"YES",0,"",""
"Denver Childrens Dental","Denver","Dental",4.3,65,"YES",0,"",""
"Kids Dental Denver","Denver","Dental",4,35,"YES",0,"",""
"Denver Clean Team","Denver","Cleaning",4,30,"YES",0,"",""
"Eco Clean Denver","Denver","Cleaning",4.1,35,"YES",0,"",""
"Denver Auto Detail","Denver","Auto Repair",4.4,55,"YES",0,"",""